name,ring,quadrant,isNew,description
Nuclear Energy Institute,Adopt,Organisations,TRUE,https://www.nei.org/home
Hillevåg Atomkraftforening,Adopt,Organisations,TRUE,https://haf.no
Nuclear Matters,Trial,Organisations,TRUE,https://www.nuclearmatters.com/
American Nuclear Society,Trial,Organisations,TRUE,https://www.ans.org/
World Nuclear Association,Trial,Organisations,TRUE,https://www.world-nuclear.org/
Nuclear Industry Association,Trial,Organisations,TRUE,http://niauk.org
Institutt for energiteknikk,Trial,Organisations,TRUE,https://ife.no/
CERN,Adopt,Organisations,TRUE,https://home.cern/
Nuclear Institute,Trial,Organisations,TRUE,https://www.nuclearinst.com/Homepage
European Nuclear Society,Trial,Organisations,TRUE,https://www.euronuclear.org/
Small Modular Reactors,Trial,Technologies,TRUE,https://www.nei.org/news/2021/advancing-nuclear-technologies
Salt and Sodium Cooled Reactors,Trial,Technologies,TRUE,https://www.nei.org/news/2021/advancing-nuclear-technologies
Molten Fluoride Salt Cooled High-Temperature Reactor,Assess,Technologies,TRUE,https://www.nei.org/news/2021/advancing-nuclear-technologies
Micro-Reactors,Adopt,Technologies,TRUE,https://www.nei.org/news/2021/advancing-nuclear-technologies
High-Temperature Gas Cooled Reactors,Assess,Technologies,TRUE,TBD
Coordinated Research Projects IAEA,Adopt,Research Projects,TRUE,TBD
Thorium,Adopt,Nuclear Materials,TRUE,TBD
Uranium,Assess,Nuclear Materials,TRUE,TBD
Plutonium,Trial,Nuclear Materials,TRUE,TBD
Deuterium,Adopt,Nuclear Materials,TRUE,TBD
Tritium,Adopt,Nuclear Materials,TRUE,TBD
